,Feat_Importance,Cum_Imp,Diff_Feat_Imp
ba_001,0.0036869333318916226,0.920326095709545,0.0035429521802263033
ax_000,0.0033987065870839128,0.923724802296629,0.011325199377804072
cn_002,0.00296071187047541,0.9266855141671044,0.017209983394585387
au_000,0.002917268410889593,0.929602782577994,0.0017070096732320708
ag_002,0.002831861492952022,0.932434644070946,0.003355866141193955
cn_007,0.0027047221294793566,0.9351393662004254,0.0049956454979764205
cs_006,0.0024680326674901346,0.9376073988679156,0.009300161750920957
bb_000,0.0021531627201120296,0.9397605615880276,0.012372082037406851
ba_000,0.0021362570952239987,0.9418968186832516,0.0006642671990451414
cn_001,0.0021286837470822807,0.9440255024303339,0.00029757709583716675
cs_004,0.0020476398604651626,0.9460731422907991,0.0031844309760475017
ba_005,0.0019778717693302948,0.9480510140601294,0.0027413748257064867
ay_006,0.0019156483575383239,0.9499666624176677,0.002444924203621042
dy_000,0.001891404190067536,0.9518580666077352,0.0009526181567179769
bx_000,0.0017721194995267326,0.9536301861072619,0.0046870143990125745
az_001,0.001605807739813644,0.9552359938470756,0.0065348336736785325
dx_000,0.001541784538729714,0.9567777783858052,0.002515642736639454
av_000,0.0015164468234634316,0.9582942252092687,0.0009955865732034007
ee_002,0.0015038801439559814,0.9597981053532246,0.0004937784348700423
dd_000,0.001441548636623055,0.9612396539898477,0.002449171566418654
cs_007,0.0013243183551274985,0.9625639723449751,0.004606291175161478
az_002,0.0013025605839845275,0.9638665329289596,0.0008549209976165497
bz_000,0.00126425720852746,0.965130790137487,0.0015050420257966745
aj_000,0.001261185173452183,0.9663919753109392,0.0001207084711945511
cs_000,0.0010966424471612426,0.9674886177581005,0.006465323621010817
ay_005,0.0010880331564641695,0.9685766509145647,0.0003382820484298742
eg_000,0.0010529036664182602,0.969629554580983,0.0013803315826084444
az_003,0.001052135496551238,0.9706816900775342,3.0183447777730868e-05
ay_007,0.0010419927349259975,0.9717236828124602,0.0003985362209326626
bi_000,0.0010287377511893014,0.9727524205636495,0.000520823748218728
